SubscriptionPlan,AgeGroup,Login,WatchTimeMinutes,ContentPreference,Location,HouseholdSize,PrimaryDevice,PaymentSubscriptionPlan,BillingCycle,IsAutoRenew,TenureDays,DaysSinceLastActivity,TotalLogins,TotalWatchTime,AvgWatchTime,LoginFrequency,ActivityRatio,Actual_Churned,LR_Churn_Probability,XGB_Churn_Probability,LR_Prediction,XGB_Prediction,Segment,SegmentName,Strategy,Offer,Channel
Standard,18-25,1,41,Documentaries,West,4,Smart TV,Standard,Annually,True,115,47,62,4370,48.02197802197802,0.5391304347826087,1.2916666666666667,0,6.331912814952102e-05,4.1338558e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,120,Movies,Central,3,Mobile,Standard,Quarterly,False,122,47,63,4445,48.84615384615385,0.5163934426229508,1.3125,0,7.85027568976104e-05,5.843077e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,165,TV Shows,South,3,Tablet,Premium,Annually,True,134,47,53,6828,75.03296703296704,0.3955223880597014,1.1041666666666667,0,0.0001203107608002,9.804176e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,66,Documentaries,North,5,Smart TV,Standard,Monthly,False,137,47,67,5154,56.63736263736264,0.4890510948905109,1.3958333333333333,0,8.303703936958864e-06,4.4184562e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,0,0,Movies,North,1,Mobile,Standard,Annually,True,78,47,59,4321,47.48351648351648,0.7564102564102564,1.2291666666666667,0,0.0071814519488029,7.4244426e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,18-25,1,108,Sports,East,1,Web Browser,Premium,Annually,True,85,47,66,8105,89.06593406593407,0.7764705882352941,1.375,0,0.0132769099845531,1.82015e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,34,Documentaries,West,4,Smart TV,Basic,Quarterly,True,124,47,42,1340,14.725274725274724,0.3387096774193548,0.875,0,8.636949375103139e-05,6.6972525e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,59,TV Shows,North,4,Tablet,Standard,Monthly,True,90,47,64,4655,51.15384615384615,0.7111111111111111,1.3333333333333333,0,0.0035174680546094,1.0317786e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,1,16,Movies,West,1,Tablet,Basic,Monthly,True,126,47,40,1334,14.65934065934066,0.3174603174603174,0.8333333333333334,0,0.0003477167077971,2.6690433e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,73,Sports,North,4,Smart TV,Standard,Monthly,True,120,47,67,5104,56.08791208791209,0.5583333333333333,1.3958333333333333,0,4.741981447569124e-05,5.39348e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,1,55,Movies,North,3,Web Browser,Standard,Monthly,True,51,47,61,4883,53.65934065934066,1.196078431372549,1.2708333333333333,0,0.284667320952171,0.00012114629,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,0,0,Movies,East,1,Mobile,Basic,Monthly,True,117,113,13,417,16.68,0.1111111111111111,0.1140350877192982,0,0.9465464457969436,0.00051931775,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,26-35,1,71,Sports,West,5,Mobile,Standard,Monthly,True,104,47,69,4943,54.31868131868132,0.6634615384615384,1.4375,0,0.0001218038900279,1.2549428e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,1,25,TV Shows,East,2,Smart TV,Basic,Quarterly,True,50,47,46,1506,16.54945054945055,0.92,0.9583333333333334,0,0.3280106161163143,4.665753e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,62,Documentaries,North,3,Mobile,Standard,Annually,True,69,47,57,4435,48.73626373626374,0.8260869565217391,1.1875,0,0.0277183142694648,3.8985218e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,1,37,Movies,East,1,Tablet,Standard,Monthly,False,116,57,53,3705,45.74074074074074,0.4568965517241379,0.913793103448276,0,0.0088045167696227,1.2321434e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,0,0,Documentaries,Central,3,Mobile,Basic,Quarterly,True,131,47,53,1972,21.67032967032967,0.4045801526717557,1.1041666666666667,0,1.861167098294821e-05,6.242144e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,87,Documentaries,East,4,Mobile,Premium,Annually,True,112,47,60,7302,80.24175824175825,0.5357142857142857,1.25,0,0.0005021457980673,9.97342e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,1,80,TV Shows,Central,4,Mobile,Standard,Quarterly,True,121,47,67,5126,56.32967032967033,0.5537190082644629,1.3958333333333333,0,6.05534794685355e-05,5.259785e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,36-50,0,0,Movies,West,5,Tablet,Basic,Quarterly,True,83,47,45,1585,17.417582417582416,0.5421686746987951,0.9375,0,0.0096831280795512,6.7215375e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Movies,North,4,Smart TV,Basic,Quarterly,True,113,47,42,1393,15.307692307692308,0.3716814159292035,0.875,0,0.0003609486548313,1.6865697e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,93,Movies,Central,2,Smart TV,Standard,Annually,True,128,47,62,4607,50.62637362637363,0.484375,1.2916666666666667,0,2.7286500837799648e-05,3.5686415e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,92,Sports,North,4,Mobile,Premium,Annually,True,72,47,69,8129,89.32967032967034,0.9583333333333334,1.4375,0,0.0114113816186915,4.5221915e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,55,TV Shows,West,1,Smart TV,Basic,Monthly,True,72,47,43,1396,15.34065934065934,0.5972222222222222,0.8958333333333334,0,0.0379354200059731,2.8718554e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,0,0,Documentaries,North,3,Web Browser,Premium,Monthly,True,105,47,55,6369,69.98901098901099,0.5238095238095238,1.1458333333333333,0,0.0022062165217152,9.485901e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,36-50,1,156,Movies,North,3,Smart TV,Premium,Quarterly,False,95,67,51,6184,87.09859154929578,0.5368421052631579,0.75,0,0.4053125612122276,4.8448157e-08,0,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,51+,1,110,TV Shows,Central,5,Smart TV,Standard,Annually,True,49,47,63,4744,52.13186813186813,1.2857142857142858,1.3125,0,0.1047442873088894,0.00022775038,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,0,0,Documentaries,North,5,Smart TV,Basic,Monthly,True,109,47,49,1608,17.67032967032967,0.4495412844036697,1.0208333333333333,0,0.0002404945131116,6.686942e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,0,0,TV Shows,East,1,Mobile,Standard,Monthly,True,110,67,51,3921,55.225352112676056,0.4636363636363636,0.75,0,0.0453854887743671,1.4489896e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,26-35,1,57,Sports,East,5,Tablet,Basic,Monthly,False,58,47,55,2087,22.93406593406593,0.9482758620689656,1.1458333333333333,0,0.0791456821165343,9.77627e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,44,Documentaries,South,3,Smart TV,Standard,Quarterly,True,86,47,67,5082,55.84615384615385,0.7790697674418605,1.3958333333333333,0,0.0023090976618625,6.8110606e-09,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,21,Sports,Central,4,Mobile,Basic,Quarterly,True,96,47,36,1169,12.846153846153848,0.375,0.75,0,0.0036488602811881,3.9612667e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,73,Movies,East,5,Mobile,Standard,Monthly,True,102,47,65,4907,53.92307692307692,0.6372549019607843,1.3541666666666667,0,0.0005030405906354,1.2027488e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,Documentaries,North,3,Web Browser,Basic,Monthly,True,80,47,45,1648,18.10989010989011,0.5625,0.9375,0,0.0170238924568481,5.707249e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,26-35,1,162,Sports,East,1,Web Browser,Premium,Quarterly,False,88,55,61,7523,90.63855421686748,0.6931818181818182,1.0892857142857142,0,0.1297363446107831,5.2130133e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,0,0,Documentaries,East,3,Web Browser,Standard,Quarterly,True,88,47,66,5132,56.3956043956044,0.75,1.375,0,0.0036347176200807,2.1009935e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,36-50,1,78,TV Shows,East,2,Tablet,Premium,Annually,False,65,61,55,6608,85.81818181818181,0.8461538461538461,0.8870967741935484,0,0.886733876113445,0.26260284,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Standard,36-50,1,47,Documentaries,West,1,Smart TV,Standard,Monthly,True,80,47,62,4625,50.82417582417583,0.775,1.2916666666666667,0,0.0090625308531203,1.7130386e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,36-50,1,178,Movies,North,3,Smart TV,Premium,Quarterly,False,91,67,51,6184,87.09859154929578,0.5604395604395604,0.75,0,0.5198701070240893,4.8448157e-08,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Premium,36-50,0,0,TV Shows,West,3,Smart TV,Premium,Monthly,True,86,47,66,7507,82.49450549450549,0.7674418604651163,1.375,0,0.0042140076483337,2.7174622e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,0,0,TV Shows,Central,2,Web Browser,Basic,Annually,True,130,47,43,1609,17.681318681318682,0.3307692307692307,0.8958333333333334,0,8.228896817495343e-05,6.980264e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,0,0,Documentaries,Central,3,Smart TV,Standard,Annually,True,94,47,69,5081,55.83516483516483,0.7340425531914894,1.4375,0,0.0003580929750564,7.239889e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,154,TV Shows,South,3,Tablet,Premium,Annually,True,121,47,53,6828,75.03296703296704,0.4380165289256198,1.1041666666666667,0,0.0004980762771855,9.142681e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,51+,0,0,Sports,North,2,Web Browser,Standard,Quarterly,True,100,47,57,3948,43.38461538461539,0.57,1.1875,0,0.0011312479875848,4.503049e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,36-50,0,0,Sports,East,5,Smart TV,Standard,Quarterly,True,104,47,66,5062,55.62637362637363,0.6346153846153846,1.375,0,0.0002299214367806,2.2757956e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,36-50,1,42,Sports,East,3,Tablet,Basic,Annually,True,91,47,45,1456,16.0,0.4945054945054945,0.9375,0,0.0058581086649119,1.388862e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,26-35,0,0,Sports,East,1,Web Browser,Premium,Quarterly,False,110,55,61,7523,90.63855421686748,0.5545454545454546,1.0892857142857142,0,0.0078317665219908,5.4955418e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,Sports,East,4,Tablet,Basic,Monthly,True,80,47,40,1472,16.175824175824175,0.5,0.8333333333333334,0,0.0272610369702321,1.5313029e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,Documentaries,Central,3,Mobile,Basic,Monthly,False,128,54,45,1677,19.964285714285715,0.3515625,0.8181818181818182,0,0.0003930510534768,1.2053386e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,51+,0,0,Sports,North,5,Smart TV,Premium,Monthly,True,113,47,63,7658,84.15384615384616,0.5575221238938053,1.3125,0,0.000203514105715,2.430545e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,0,0,Sports,North,3,Web Browser,Standard,Annually,True,118,47,71,5297,58.20879120879121,0.6016949152542372,1.4791666666666667,0,3.227361630264335e-05,5.1490573e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,18-25,0,0,Documentaries,North,5,Tablet,Standard,Quarterly,True,52,47,67,4873,53.54945054945055,1.2884615384615383,1.3958333333333333,0,0.0753305318505919,7.237088e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Sports,North,4,Web Browser,Basic,Quarterly,True,120,47,45,1708,18.76923076923077,0.375,0.9375,0,0.0001300062817909,1.357621e-09,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,1,28,TV Shows,Central,4,Web Browser,Basic,Monthly,True,104,62,43,1483,19.51315789473684,0.4134615384615384,0.6825396825396826,0,0.0543308280242387,5.937594e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,87,Sports,South,3,Mobile,Standard,Monthly,True,68,47,63,4954,54.43956043956044,0.9264705882352942,1.3125,0,0.0204348364167534,7.506637e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,1,34,Movies,West,3,Smart TV,Basic,Annually,True,107,47,51,1685,18.51648351648352,0.4766355140186916,1.0625,0,0.0002294591086058,3.2318612e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,36-50,1,61,TV Shows,East,4,Mobile,Standard,Monthly,True,58,47,59,4519,49.65934065934066,1.0172413793103448,1.2291666666666667,0,0.1310488089901689,4.4507866e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,1,108,Movies,West,3,Smart TV,Standard,Quarterly,True,60,47,55,4293,47.175824175824175,0.9166666666666666,1.1458333333333333,0,0.0865757971928152,1.0865782e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,0,0,TV Shows,North,4,Smart TV,Basic,Quarterly,True,64,47,45,1505,16.53846153846154,0.703125,0.9375,0,0.0467983214484611,3.5959497e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,173,Sports,North,4,Tablet,Premium,Monthly,False,121,59,57,7410,93.79746835443038,0.4710743801652892,0.95,0,0.0089638350534296,3.678534e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,Sports,Central,3,Web Browser,Basic,Annually,True,87,47,50,1946,21.384615384615383,0.5747126436781609,1.0416666666666667,0,0.0033437461680088,1.7329312e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,95,Documentaries,South,5,Mobile,Standard,Quarterly,True,92,47,64,4634,50.92307692307692,0.6956521739130435,1.3333333333333333,0,0.0009948082636455,4.8989595e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,113,Sports,South,3,Smart TV,Standard,Monthly,True,51,47,64,5056,55.56043956043956,1.2549019607843137,1.3333333333333333,0,0.0880772240941352,0.00064720365,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,56,Sports,East,5,Tablet,Basic,Monthly,False,78,47,55,2087,22.93406593406593,0.7051282051282052,1.1458333333333333,0,0.0098849733102202,1.3963239e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,58,Movies,North,1,Web Browser,Standard,Annually,True,82,47,65,4587,50.40659340659341,0.7926829268292683,1.3541666666666667,0,0.0066307967814994,4.5824667e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Sports,North,1,Web Browser,Basic,Monthly,True,122,47,46,1504,16.52747252747253,0.3770491803278688,0.9583333333333334,0,0.0001415801616638,3.3973585e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,91,Sports,South,3,Smart TV,Standard,Monthly,True,69,47,64,5056,55.56043956043956,0.927536231884058,1.3333333333333333,0,0.0138437872984253,5.4886334e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,36-50,1,60,Documentaries,North,3,Mobile,Premium,Monthly,True,75,47,62,7107,78.0989010989011,0.8266666666666667,1.2916666666666667,0,0.0346703418424033,1.5776216e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,0,0,Movies,North,2,Smart TV,Basic,Monthly,True,83,47,44,1426,15.67032967032967,0.5301204819277109,0.9166666666666666,0,0.0100482981625172,1.1509502e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,0,0,TV Shows,North,3,Web Browser,Basic,Monthly,False,86,57,34,1146,14.148148148148149,0.3953488372093023,0.5862068965517241,0,0.1632816761203747,9.199584e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,26-35,1,78,Sports,West,1,Mobile,Premium,Quarterly,True,108,47,61,7122,78.26373626373626,0.5648148148148148,1.2708333333333333,0,0.0005471981877349,1.1016474e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,18-25,0,0,Sports,West,5,Mobile,Basic,Monthly,True,128,47,44,1555,17.087912087912088,0.34375,0.9166666666666666,0,2.9963990466275235e-05,5.842851e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,154,Documentaries,East,3,Tablet,Premium,Monthly,False,123,110,20,2459,87.82142857142857,0.1626016260162601,0.1801801801801801,0,0.963870143081669,1.8541331e-06,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Basic,26-35,0,0,Movies,East,3,Tablet,Basic,Annually,True,61,47,42,1533,16.846153846153847,0.6885245901639344,0.875,0,0.1215916482246023,3.97886e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,0,0,Sports,Central,4,Smart TV,Premium,Monthly,True,54,47,68,8444,92.7912087912088,1.2592592592592593,1.4166666666666667,0,0.1044875847895498,7.877182e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,0,0,Documentaries,West,3,Smart TV,Basic,Monthly,True,70,47,49,1652,18.153846153846157,0.7,1.0208333333333333,0,0.0145717505284943,1.5820316e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,110,Sports,South,2,Smart TV,Premium,Monthly,True,53,47,65,8064,88.61538461538461,1.2264150943396226,1.3541666666666667,0,0.2055959877970371,0.00012664063,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,36-50,0,0,Documentaries,Central,1,Smart TV,Premium,Monthly,True,86,47,58,7420,81.53846153846153,0.6744186046511628,1.2083333333333333,0,0.017284783277728,2.3641444e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,51+,1,13,Sports,Central,3,Smart TV,Basic,Quarterly,True,85,47,55,1805,19.83516483516484,0.6470588235294118,1.1458333333333333,0,0.0029571513712707,9.5800175e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,51+,1,103,Sports,North,5,Smart TV,Premium,Monthly,True,62,47,63,7658,84.15384615384616,1.0161290322580645,1.3125,0,0.0759693257205008,6.5767307e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,36-50,1,51,TV Shows,North,5,Smart TV,Basic,Monthly,True,56,47,46,1683,18.494505494505493,0.8214285714285714,0.9583333333333334,0,0.1602304444055037,4.3456985e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,26-35,1,39,Documentaries,West,3,Mobile,Standard,Annually,True,95,47,65,4441,48.8021978021978,0.6842105263157895,1.3541666666666667,0,0.0004102262784736,3.0615943e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,113,Sports,Central,4,Smart TV,Premium,Monthly,True,48,47,68,8444,92.7912087912088,1.4166666666666667,1.4166666666666667,0,0.2589452818628477,0.000106518826,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,17,Movies,East,3,Smart TV,Basic,Annually,True,53,47,44,1561,17.153846153846153,0.8301886792452831,0.9166666666666666,0,0.1763056424148089,3.4913508e-05,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,36-50,0,0,TV Shows,Central,5,Web Browser,Basic,Monthly,True,130,47,46,1472,16.175824175824175,0.3538461538461538,0.9583333333333334,0,7.912664011816895e-05,9.443397e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,93,Sports,East,4,Web Browser,Standard,Quarterly,True,129,47,61,4198,46.13186813186813,0.4728682170542636,1.2708333333333333,0,5.201543952566971e-05,8.935611e-11,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,26-35,0,0,TV Shows,South,3,Smart TV,Basic,Monthly,True,58,47,46,1694,18.615384615384617,0.7931034482758621,0.9583333333333334,0,0.0803100458518247,7.2815315e-06,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,64,Movies,West,3,Web Browser,Standard,Monthly,True,97,47,70,5537,60.84615384615385,0.7216494845360825,1.4583333333333333,0,0.0010778479873152,4.808752e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,51+,1,43,Sports,Central,4,Mobile,Basic,Quarterly,True,78,47,50,1968,21.626373626373628,0.6410256410256411,1.0416666666666667,0,0.0104509486428209,6.739259e-07,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,1,142,Sports,South,2,Smart TV,Premium,Monthly,True,60,47,65,8064,88.61538461538461,1.0833333333333333,1.3541666666666667,0,0.1139655755765959,4.0159375e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,43,Documentaries,East,5,Smart TV,Standard,Quarterly,True,51,47,66,4916,54.02197802197802,1.2941176470588236,1.375,0,0.0837398743934461,1.348915e-06,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,18-25,0,0,Movies,South,5,Smart TV,Basic,Monthly,True,130,47,47,1469,16.142857142857142,0.3615384615384615,0.9791666666666666,0,2.658889802207743e-05,7.0778376e-11,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,51+,1,75,Movies,North,3,Web Browser,Standard,Monthly,True,90,47,61,4883,53.65934065934066,0.6777777777777778,1.2708333333333333,0,0.0061748721898853,1.2648223e-08,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,26-35,0,0,Documentaries,North,3,Mobile,Premium,Monthly,True,52,47,56,6896,75.78021978021978,1.0769230769230769,1.1666666666666667,0,0.251751787079384,4.083811e-05,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,1,118,Documentaries,North,2,Smart TV,Standard,Quarterly,True,50,47,64,4909,53.94505494505494,1.28,1.3333333333333333,0,0.1304152796787866,0.0004249792,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Basic,26-35,1,15,Movies,South,3,Web Browser,Basic,Monthly,True,106,47,46,1552,17.054945054945055,0.4339622641509434,0.9583333333333334,0,0.0012045526797548,3.1789444e-08,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Standard,18-25,1,60,Sports,North,3,Web Browser,Standard,Annually,True,73,47,71,5297,58.20879120879121,0.9726027397260274,1.4791666666666667,0,0.0064966392582774,3.873754e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,26-35,0,0,Documentaries,North,2,Smart TV,Standard,Quarterly,True,71,47,64,4909,53.94505494505494,0.9014084507042254,1.3333333333333333,0,0.0099337325471992,5.930243e-07,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Premium,18-25,1,120,Sports,North,4,Web Browser,Premium,Annually,True,114,47,58,6622,72.76923076923077,0.5087719298245614,1.2083333333333333,0,0.0004173409637587,5.0089666e-10,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Premium,18-25,1,107,Sports,Central,4,Smart TV,Premium,Monthly,True,93,47,68,8444,92.7912087912088,0.7311827956989247,1.4166666666666667,0,0.0028499023615727,1.8052651e-08,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Standard,26-35,1,63,Movies,South,5,Mobile,Standard,Monthly,True,75,47,66,4668,51.2967032967033,0.88,1.375,0,0.0055537920018937,5.5135034e-09,0,0,0,Low Risk - High Value,Premium loyalty program,Exclusive content access,Personalized email
Standard,18-25,1,68,Sports,East,2,Smart TV,Standard,Monthly,False,85,81,41,2948,51.719298245614034,0.4823529411764706,0.5,0,0.9101217716111988,0.30132616,1,0,3,High Risk - High Value,VIP retention,1-on-1 account review,Phone call from account manager
Basic,26-35,0,0,Movies,East,4,Mobile,Basic,Monthly,True,110,47,46,1585,17.417582417582416,0.4181818181818181,0.9583333333333334,0,0.0003743278919594,2.368922e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Basic,51+,0,0,Movies,North,2,Smart TV,Basic,Monthly,True,118,47,44,1426,15.67032967032967,0.3728813559322034,0.9166666666666666,0,0.0002166858290199,1.2313621e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
Premium,18-25,0,0,Documentaries,North,5,Smart TV,Premium,Annually,True,99,47,65,8123,89.26373626373626,0.6565656565656566,1.3541666666666667,0,0.0006783047690975,8.336542e-09,0,0,2,Medium Risk - Medium Value,Engagement boost,Personalized recommendations,In-app messages
Basic,51+,1,48,Sports,Central,3,Smart TV,Basic,Quarterly,True,133,47,55,1805,19.83516483516484,0.4135338345864661,1.1458333333333333,0,1.5875438497732292e-05,1.5816976e-10,0,0,1,High Risk - Low Value,Win-back campaign,Limited-time discount,Push notifications
